TOX21_TR_LUC_GH3_Antagonist,AUC,AUC_PR,Recall,F1
valid_base,0.7336813712072002,0.210828666581016,0.23034628097557158,0.250646895518643
valid_tuned,0.7336813712072002,0.210828666581016,0.23034628097557158,0.250646895518643
test_base,0.8093221478314645,0.2689917474873784,0.30612244897959184,0.3157894736842105
test_tuned,0.8093221478314645,0.2689917474873784,0.30612244897959184,0.3157894736842105
