TOX21_ELG1_LUC_Agonist,AUC,AUC_PR,Recall,F1
valid_base,0.6923485735616208,0.11068699175813287,0.07428571428571429,0.11190476190476191
valid_tuned,0.7598762207995431,0.12051601334269353,0.07428571428571429,0.11666666666666667
test_base,0.9490099009900991,0.20626670626670623,0.4,0.5
test_tuned,0.8966584158415841,0.2009542472336371,0.4,0.5
