TOX21_HSE_BLA_agonist_ratio,AUC,AUC_PR,Recall,F1
valid_base,0.7404681370975379,0.1328187384876172,0.16859126984126982,0.18247668997668998
valid_tuned,0.7526657328187076,0.13128055609326617,0.17692460317460318,0.1965193107546049
test_base,0.7783620689655173,0.29426858575395287,0.25,0.36363636363636365
test_tuned,0.7536206896551724,0.06648947798779599,0.0,0.0
