NVS_ADME_hCYP2B6,AUC,AUC_PR,Recall,F1
valid_base,0.7656498015873017,0.8107592936164364,0.8909920634920635,0.7966706642171039
valid_tuned,0.7419146825396826,0.7909826109736823,0.8684920634920633,0.7682168974816034
test_base,0.6770833333333334,0.7555288461538461,0.75,0.75
test_tuned,0.6875,0.7260149572649572,0.75,0.75
