TOX21_PPARd_BLA_antagonist_ratio,AUC,AUC_PR,Recall,F1
valid_base,0.6564494932900967,0.08828231049761873,0.11904761904761904,0.14294372294372296
valid_tuned,0.6682504362055122,0.08681913880234964,0.11904761904761904,0.14112554112554113
test_base,0.8172348484848484,0.15564828094634695,0.125,0.14285714285714288
test_tuned,0.8100034435261708,0.1554132462337951,0.125,0.14285714285714288
