TOX21_Aromatase_Inhibition,AUC,AUC_PR,Recall,F1
valid_base,0.7278982096574252,0.19045267396027718,0.2296565199506376,0.2691370845718672
valid_tuned,0.727051239814144,0.1851889775567622,0.22298985328397097,0.26092567440393527
test_base,0.7955234924158343,0.24581071158414286,0.29411764705882354,0.33333333333333337
test_tuned,0.8241213466518683,0.2568238175789642,0.29411764705882354,0.33333333333333337
