TOX21_PPARd_BLA_agonist_ratio,AUC,AUC_PR,Recall,F1
valid_base,0.7756220839396532,0.21007050526735963,0.1833333333333333,0.15333333333333335
valid_tuned,0.7848398889864459,0.2072190890525726,0.1833333333333333,0.18
test_base,0.9927040583675331,0.4793650793650793,0.3333333333333333,0.5
test_tuned,0.9890560875512996,0.4392857142857143,0.3333333333333333,0.5
