TOX21_ARE_BLA_agonist_ratio,AUC,AUC_PR,Recall,F1
valid_base,0.6995286334240675,0.23046989848689906,0.286324253088959,0.2647803641670123
valid_tuned,0.7055844932598326,0.23668478175215082,0.31972347913524385,0.2760071473981843
test_base,0.7097016550522648,0.2499013785165014,0.3,0.328125
test_tuned,0.7150370209059234,0.2538282734999209,0.2857142857142857,0.291970802919708
