TOX21_VDR_BLA_antagonist_ratio,AUC,AUC_PR,Recall,F1
valid_base,0.8088025001207649,0.13696815022537984,0.08333333333333333,0.06944444444444445
valid_tuned,0.8294390906914325,0.15758100960508115,0.11666666666666665,0.08444444444444445
test_base,0.7623919963619826,0.043634702122517674,0.3333333333333333,0.25
test_tuned,0.6587085038653934,0.08866200345167917,0.3333333333333333,0.4
