TOX21_TR_LUC_GH3_Agonist,AUC,AUC_PR,Recall,F1
valid_base,0.5507251408403607,0.1952470643301024,0.18880952380952382,0.24380952380952384
valid_tuned,0.5507251408403607,0.1952470643301024,0.18880952380952382,0.24380952380952384
test_base,0.7963419646526921,0.669112419112419,0.6666666666666666,0.6666666666666666
test_tuned,0.7963419646526921,0.669112419112419,0.6666666666666666,0.6666666666666666
