TOX21_p53_BLA_p3_ratio,AUC,AUC_PR,Recall,F1
valid_base,0.6675692453346629,0.114881370096241,0.15979654504422308,0.18775198323024408
valid_tuned,0.6853000624387474,0.11655106465426872,0.14157966388616544,0.15757564327358375
test_base,0.7470148755920218,0.1099619120249568,0.05263157894736842,0.07142857142857142
test_tuned,0.7714962310719766,0.10631234435376345,0.15789473684210525,0.18749999999999997
