TOX21_GR_BLA_Antagonist_ratio,AUC,AUC_PR,Recall,F1
valid_base,0.8318508806581514,0.40818778124287813,0.37616008884551083,0.4170530630286649
valid_tuned,0.8339139433028668,0.40873901386977274,0.3829767036033021,0.4422052860932172
test_base,0.6808182709822055,0.2958129095072114,0.3333333333333333,0.3870967741935484
test_tuned,0.7934005884825557,0.2970287675122743,0.3333333333333333,0.375
