NVS_ADME_hCYP1A2,AUC,AUC_PR,Recall,F1
valid_base,0.5948368055555555,0.6868810078810079,0.7922222222222223,0.7155404816388798
valid_tuned,0.5948368055555555,0.6868810078810079,0.7922222222222223,0.7155404816388798
test_base,0.39375000000000004,0.5350951336245454,0.1,0.18181818181818182
test_tuned,0.39375000000000004,0.5350951336245454,0.1,0.18181818181818182
