TOX21_FXR_BLA_antagonist_ratio,AUC,AUC_PR,Recall,F1
valid_base,0.7184293562955005,0.1609838411677734,0.15845959595959597,0.18660818713450295
valid_tuned,0.7184293562955005,0.1609838411677734,0.15845959595959597,0.18660818713450295
test_base,0.6337885415555319,0.03291563874678945,0.07692307692307693,0.08695652173913043
test_tuned,0.6337885415555319,0.03291563874678945,0.07692307692307693,0.08695652173913043
