,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6042,0.5833,1.0,0.6154,0.7619,0.3203,0.6429
0_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0_2,0.7917,0.6458,0.625,0.7143,0.6667,0.2887,0.6429
0_3,0.7604,0.7917,0.75,0.8571,0.8,0.5774,0.7857
0_4,0.875,0.7708,0.875,0.7778,0.8235,0.5594,0.7857
0_5,0.7708,0.625,0.75,0.6667,0.7059,0.2582,0.6429
0_6,0.5729,0.5208,0.875,0.5833,0.7,0.0589,0.5714
0_7,0.8021,0.75,1.0,0.7273,0.8421,0.603,0.7857
0_8,0.5778,0.4333,0.6667,0.6,0.6316,-0.1414,0.5
0_9,0.6375,0.6,1.0,0.6667,0.8,0.3651,0.6923
0_Mean,0.7392,0.6721,0.8542,0.7209,0.7732,0.389,0.7049
0_SD,0.1402,0.1611,0.1473,0.1292,0.1062,0.3174,0.1407
Mean,0.7392,0.6721,0.8542,0.7209,0.7732,0.389,0.705
SD,0.1402,0.1611,0.1473,0.1292,0.1062,0.3173,0.1407
