,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.9066,0.8002,0.6154,0.4,0.4848,0.4862,0.979
0_1,0.8655,0.8046,0.6154,0.6154,0.6154,0.6091,0.9877
0_2,0.8849,0.8271,0.6667,0.4444,0.5333,0.5361,0.9827
0_3,0.8471,0.8725,0.75,0.6923,0.72,0.7162,0.9914
0_4,0.8665,0.768,0.5385,0.7778,0.6364,0.6425,0.9901
0_5,0.8724,0.8436,0.6923,0.6923,0.6923,0.6873,0.9901
0_6,0.743,0.727,0.4615,0.5,0.48,0.4723,0.984
0_7,0.7759,0.7661,0.5385,0.5833,0.56,0.5536,0.9864
0_8,0.8657,0.8046,0.6154,0.6154,0.6154,0.6091,0.9877
0_9,0.862,0.8449,0.6923,0.8182,0.75,0.749,0.9926
0_Mean,0.849,0.8058,0.6186,0.6139,0.6088,0.6061,0.9872
0_SD,0.0503,0.0436,0.0869,0.1371,0.0944,0.0945,0.0042
Mean,0.849,0.8059,0.6186,0.6139,0.6088,0.6061,0.9872
SD,0.0503,0.0436,0.0869,0.1372,0.0944,0.0945,0.0042
