,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6224,0.5912,0.5122,0.0766,0.1333,0.0845,0.6621
0_1,0.6363,0.6102,0.5854,0.0789,0.1391,0.0998,0.6324
0_2,0.6304,0.6155,0.6,0.0782,0.1383,0.1033,0.6295
0_3,0.5504,0.5608,0.475,0.0655,0.1152,0.055,0.6382
0_4,0.6293,0.5971,0.575,0.073,0.1296,0.0864,0.6171
0_5,0.6986,0.6494,0.6,0.0941,0.1627,0.1395,0.6939
0_6,0.6478,0.6004,0.575,0.0742,0.1314,0.0896,0.6233
0_7,0.6173,0.5551,0.5,0.0627,0.1114,0.0489,0.6047
0_8,0.7425,0.6758,0.675,0.0982,0.1714,0.161,0.6766
0_9,0.6688,0.6461,0.6341,0.0903,0.1581,0.1339,0.6568
0_Mean,0.6444,0.6102,0.5732,0.0792,0.1391,0.1002,0.6435
0_SD,0.0513,0.0384,0.0618,0.0117,0.0197,0.0359,0.0281
Mean,0.6444,0.6102,0.5732,0.0792,0.139,0.1002,0.6435
SD,0.0513,0.0384,0.0618,0.0117,0.0197,0.0359,0.0281
