,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7605,0.6654,0.375,0.0857,0.1395,0.1612,0.9495
0_1,0.3602,0.4655,0.25,0.0086,0.0166,-0.0154,0.6762
0_2,0.5471,0.5214,0.25,0.0132,0.025,0.011,0.7869
0_3,0.4689,0.5024,0.375,0.0111,0.0215,0.001,0.627
0_4,0.6419,0.6499,0.5,0.0268,0.051,0.0774,0.7964
0_5,0.6148,0.6226,0.375,0.0309,0.0571,0.0752,0.8648
0_6,0.4836,0.5218,0.375,0.0123,0.0239,0.0096,0.6653
0_7,0.6885,0.6632,0.6667,0.0238,0.046,0.0757,0.6598
0_8,0.3682,0.4627,0.3333,0.0101,0.0195,-0.0168,0.5888
0_9,0.4815,0.5433,0.5556,0.0145,0.0283,0.0191,0.5314
0_Mean,0.5415,0.5618,0.4056,0.0237,0.0428,0.0398,0.7146
0_SD,0.1334,0.0807,0.1321,0.0231,0.0368,0.0564,0.1306
Mean,0.5415,0.5618,0.4056,0.0237,0.0428,0.0398,0.7146
SD,0.1334,0.0807,0.1321,0.0231,0.0368,0.0564,0.1307
