,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8039,0.8324,0.6923,0.2903,0.4091,0.4354,0.9679
0_1,0.8117,0.7952,0.6154,0.2857,0.3902,0.4061,0.9692
0_2,0.8016,0.8195,0.6667,0.2667,0.381,0.4088,0.9679
0_3,0.8857,0.8189,0.6667,0.2581,0.3721,0.4017,0.9667
0_4,0.7322,0.7951,0.6154,0.2857,0.3902,0.4061,0.9691
0_5,0.9238,0.8714,0.7692,0.3226,0.4545,0.4866,0.9704
0_6,0.8481,0.7864,0.6154,0.1905,0.2909,0.3246,0.9519
0_7,0.7159,0.7176,0.4615,0.2222,0.3,0.3047,0.9654
0_8,0.7758,0.7535,0.5385,0.2188,0.3111,0.3271,0.9617
0_9,0.7457,0.8349,0.6923,0.3333,0.45,0.4688,0.9728
0_Mean,0.8044,0.8025,0.6333,0.2674,0.3749,0.397,0.9663
0_SD,0.0668,0.0437,0.0864,0.0459,0.0581,0.0611,0.0059
Mean,0.8044,0.8025,0.6333,0.2674,0.3749,0.397,0.9663
SD,0.0668,0.0437,0.0864,0.0459,0.0581,0.0611,0.0059
