,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6716,0.6357,0.2917,0.3043,0.2979,0.277,0.9593
0_1,0.7822,0.6228,0.2609,0.3333,0.2927,0.2767,0.9642
0_2,0.5571,0.5173,0.0435,0.125,0.0645,0.0581,0.9642
0_3,0.7228,0.5358,0.087,0.1429,0.1081,0.0914,0.9592
0_4,0.707,0.5787,0.1739,0.2353,0.2,0.1824,0.9604
0_5,0.6729,0.5627,0.1304,0.4286,0.2,0.2249,0.9703
0_6,0.6482,0.5749,0.1739,0.1739,0.1739,0.1497,0.953
0_7,0.6818,0.5557,0.1304,0.1667,0.1463,0.1255,0.9567
0_8,0.7604,0.5978,0.2083,0.3333,0.2564,0.246,0.9642
0_9,0.7329,0.6148,0.25,0.2727,0.2609,0.2395,0.958
0_Mean,0.6937,0.5796,0.175,0.2516,0.2001,0.1871,0.9609
0_SD,0.0638,0.0384,0.0794,0.0996,0.0785,0.078,0.0049
Mean,0.6937,0.5796,0.175,0.2516,0.2001,0.1871,0.9609
SD,0.0638,0.0384,0.0794,0.0996,0.0785,0.078,0.0049
