,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7917,0.6875,0.875,0.7,0.7778,0.4108,0.7143
0_1,0.9583,0.7917,0.75,0.8571,0.8,0.5774,0.7857
0_2,0.4583,0.5417,0.75,0.6,0.6667,0.0913,0.5714
0_3,0.7917,0.7292,0.625,0.8333,0.7143,0.4583,0.7143
0_4,0.75,0.875,0.75,1.0,0.8571,0.75,0.8571
0_5,0.75,0.7083,0.75,0.75,0.75,0.4167,0.7143
0_6,0.5833,0.3958,0.625,0.5,0.5556,-0.2282,0.4286
0_7,0.6875,0.5417,0.75,0.6,0.6667,0.0913,0.5714
0_8,0.5333,0.6333,0.6667,0.75,0.7059,0.2582,0.6429
0_9,0.475,0.4125,0.625,0.5556,0.5882,-0.1845,0.4615
0_Mean,0.6779,0.6317,0.7167,0.7146,0.7082,0.2641,0.6462
0_SD,0.1613,0.1575,0.0805,0.155,0.0933,0.3197,0.1376
Mean,0.6779,0.6317,0.7167,0.7146,0.7082,0.2641,0.6462
SD,0.1613,0.1575,0.0805,0.155,0.0933,0.3197,0.1376
