,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.623,0.5988,0.2353,0.1176,0.1569,0.1412,0.947
0_1,0.58,0.5937,0.2353,0.0952,0.1356,0.1212,0.9371
0_2,0.6901,0.6038,0.2353,0.1538,0.186,0.1688,0.9568
0_3,0.6208,0.5656,0.1765,0.0769,0.1071,0.0878,0.9383
0_4,0.7154,0.6036,0.25,0.1053,0.1481,0.1363,0.9432
0_5,0.5365,0.573,0.1875,0.0833,0.1154,0.0985,0.9432
0_6,0.7205,0.5449,0.125,0.0667,0.087,0.0661,0.9481
0_7,0.5692,0.5486,0.125,0.0833,0.1,0.0798,0.9556
0_8,0.6209,0.5705,0.1875,0.075,0.1071,0.0905,0.9383
0_9,0.5591,0.533,0.1176,0.0465,0.0667,0.0422,0.9309
0_Mean,0.6235,0.5735,0.1875,0.0904,0.121,0.1032,0.9439
0_SD,0.0657,0.0259,0.0512,0.0299,0.0356,0.0383,0.0082
Mean,0.6236,0.5736,0.1875,0.0904,0.121,0.1032,0.9438
SD,0.0657,0.0259,0.0512,0.0298,0.0356,0.0383,0.0082
