,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8354,0.7361,0.5,0.2308,0.3158,0.324,0.9646
0_1,0.6653,0.6035,0.25,0.0882,0.1304,0.1249,0.9455
0_2,0.7435,0.6379,0.3077,0.1481,0.2,0.1933,0.9564
0_3,0.7199,0.5582,0.1538,0.069,0.0952,0.0788,0.9482
0_4,0.6323,0.6001,0.2308,0.12,0.1579,0.1456,0.9564
0_5,0.8287,0.6743,0.3846,0.1613,0.2273,0.2286,0.9537
0_6,0.6264,0.5232,0.0769,0.0435,0.0556,0.0351,0.9537
0_7,0.6255,0.5994,0.2308,0.1154,0.1538,0.1419,0.955
0_8,0.6865,0.6414,0.3077,0.1818,0.2286,0.2187,0.9632
0_9,0.6891,0.5631,0.1538,0.0909,0.1143,0.0975,0.9578
0_Mean,0.7053,0.6137,0.2596,0.1249,0.1679,0.1589,0.9554
0_SD,0.0774,0.0618,0.1227,0.0565,0.0764,0.0843,0.0059
Mean,0.7053,0.6137,0.2596,0.1249,0.1679,0.1588,0.9555
SD,0.0774,0.0618,0.1227,0.0565,0.0764,0.0843,0.0059
