,deleted_duplicate_smiles_0
7296,C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2
3585,F[P-](F)(F)(F)(F)F.CCCCCCN1C=C[N+](C)=C1
3586,F[P-](F)(F)(F)(F)F.CCCCCCCCN1C=C[N+](C)=C1
2821,C1=CC2=C(C=C1)C1=C(C=C2)C2=C(C=CC=C2)C=C1
5382,OC1=CC=CC(Cl)=C1Cl
7430,OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl
7560,CC1=C2C=CC=CC2=CC=C1
3086,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
7439,OC1=C(Cl)C=C(Cl)C=C1Cl
7825,ClC1=C(Cl)C=CC=C1
2834,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCN1C=C[N+](C)=C1
2835,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
2836,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
7830,OC1=CC=CC=C1Cl
7712,OC1=C(Cl)C=CC(Cl)=C1Cl
7713,OC1=CC(Cl)=CC(Cl)=C1Cl
7847,OC1=CC=C(Cl)C(Cl)=C1
7465,CC1=C(Cl)C=C(C(N)=C1)S(O)(=O)=O
3503,OS(O)(=O)=O.NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O
7727,OC1=C(Cl)C(Cl)=CC(Cl)=C1Cl
5428,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C=C1)C(O)=O
7860,ClC1=CC(Cl)=C(Cl)C=C1Cl
7861,OC1=C(Cl)C=C(Cl)C(Cl)=C1
5306,C1=CC2=C(C=C1)C=C1C(C=CC3=C1C=CC=C3)=C2
7610,C1=CC2=CC=CC=C2C=C1
1600,CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=C(C(=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O
3137,N#CC1=CC2=C(C=CC=C2)C2=C1C=CC=C2
5447,OC1=CC(Cl)=CC=C1Cl
7625,CC1=CC2=CC=CC=C2C=C1
6346,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O
5715,OC1=CC(Cl)=C(Cl)C(Cl)=C1
6231,OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1
2789,C1=CC=C2C=C3C4=CC=CC=C4C4=CC=CC=C4C3=CC2=C1
5990,ClC1=CC(Cl)=C(Cl)C(Cl)=C1
7398,CCC1=C(N([C@@H](C)COC)C(=O)CCl)C(C)=CC=C1
1776,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N.OS(=O)(=O)O
4976,C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1
7412,ClC1=CC=CC(Cl)=C1Cl
5494,OC1=C(Cl)C(Cl)=C(Cl)C=C1Cl
7414,OC1=C(Cl)C=CC=C1Cl
6264,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)OC(C)=O
4986,OS(O)(=O)=O.NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)C(O)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O
3965,F[P-](F)(F)(F)(F)F.CCCCCCCCCCN1C=C[N+](C)=C1
