,deleted_duplicate_smiles_0
3585,F[P-](F)(F)(F)(F)F.CCCCCCN1C=C[N+](C)=C1
3586,F[P-](F)(F)(F)(F)F.CCCCCCCCN1C=C[N+](C)=C1
4227,[O-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCN1C=C[N+](C)=C1
7301,[Br-].CCCCCCN1C=C[N+](C)=C1
1292,CCCCCCCC(O)=O
1296,CCCCCCCC=O
6033,CCCCCCCCCCCCC(O)=O
2834,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCN1C=C[N+](C)=C1
1300,CCCCCCCCC=O
2707,Cl.CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O
1302,CCCCCCCCCCCCCC=O
2835,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
2836,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
5784,[Br-].CCCCCCCCCCCCN1C=C[N+](C)=C1
3610,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
3995,CCCCCCCCCCCCCCCCO
5785,[Cl-].CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
6170,CCCCCCCCCCCCCCCCCCCCCCO
802,CCCCCCCCCCC=O
7586,[I-].CCN1C(SC2=CC=CC=C12)=CC=CC1=[N+](CC)C2=CC=CC=C2S1
811,CCCCCCCCCCCCO
4397,[O-]S(=O)(=O)C(F)(F)F.CCCCCCN1C=C[N+](C)=C1
2352,[Cl-].CCCCCCN1C=C[N+](C)=C1
2353,[Cl-].CCCCCCCCCCN1C=C[N+](C)=C1
1458,OC1=CC=CC(=C1)C(=O)C1=CC=CC=C1
2354,[Cl-].CCCCCCCCCCCCCCN1C=C[N+](C)=C1
5684,[O-][N+](=O)C1=CC2=CC=CC=C2C(=C1)[N+]([O-])=O
823,CCCCCCCCCCCCCO
825,CCCCCCCCCCCCCCO
1212,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC
5952,CCCCCCCCCCCCCCCO
838,CCCCCCCCCCCCCCCCCCO
206,CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC
79,O.O.O.O.O.O.[Ni++].[O-]S([O-])(=O)=O
1872,CCCCCCCCCCCC(O)=O
1873,CCCCCCCCCO
6095,[Cl-].CCCCCCCCN1C=C[N+](C)=C1
3798,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
5078,CCCCCCCCCCCCCC(O)=O
4060,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
4061,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
5340,CCCCCCCCCCCCCCCC(O)=O
5341,CCCCCCCCCCCCCCCCCC(O)=O
7647,NC1=C(Cl)C=C(C=C1)C1=CC(Cl)=C(N)C=C1
4197,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
4203,CCCC[N+](C)(CCCC)CCCC.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
7024,CC1=CC(=CC=C1O)C(C)(C)C1=CC(C)=C(O)C=C1
7923,OC1=CC=C(Cl)C=C1CC1=CC(Cl)=CC=C1O
7285,CCCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCCC
3067,F[B-](F)(F)F.CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
