,deleted_duplicate_smiles_0
3585,F[P-](F)(F)(F)(F)F.CCCCCCN1C=C[N+](C)=C1
3586,F[P-](F)(F)(F)(F)F.CCCCCCCCN1C=C[N+](C)=C1
4227,[O-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCN1C=C[N+](C)=C1
7558,CC(=O)O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
2834,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCN1C=C[N+](C)=C1
2835,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
5785,[Cl-].CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
4397,[O-]S(=O)(=O)C(F)(F)F.CCCCCCN1C=C[N+](C)=C1
4158,[O-][N+](=O)C1=CC(=CC(=C1Cl)[N+]([O-])=O)C(F)(F)F
6211,CC(=C)C(=O)OCCCCCCCCCCOC(=O)C(C)=C
2890,NC1=CC=CC2=C(N)C=CC=C12
6095,[Cl-].CCCCCCCCN1C=C[N+](C)=C1
4314,CC1=C(C=O)C(C)(C)CCC1
5851,[Cl-].CCCCCC[N+]1=CC=CC=C1
7516,NC1=C(C=C(Cl)C=C1)[N+]([O-])=O
4319,FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCN1C=C[N+](C)=C1
6628,[Br-].CCCCCC[N+]1=CC=CC=C1
7398,CCC1=C(N([C@@H](C)COC)C(=O)CCl)C(C)=CC=C1
3965,F[P-](F)(F)(F)(F)F.CCCCCCCCCCN1C=C[N+](C)=C1
