,deleted_duplicate_smiles_0
3585,F[P-](F)(F)(F)(F)F.CCCCCCN1C=C[N+](C)=C1
3586,F[P-](F)(F)(F)(F)F.CCCCCCCCN1C=C[N+](C)=C1
5642,[O-][N+](=O)C1=C2C=CC=CC2=CC2=CC=CC=C12
4140,C\C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
79,O.O.O.O.O.O.[Ni++].[O-]S([O-])(=O)=O
6223,NS(=O)(=O)C1=CC=C(Cl)C(=C1)S(N)(=O)=O
4203,CCCC[N+](C)(CCCC)CCCC.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F
6765,[Cl-].[Cl-].[Zn++]
7284,CCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCC
4227,[O-]S(=O)(=O)C(F)(F)F.CCCCCCCCCCN1C=C[N+](C)=C1
7301,[Br-].CCCCCCN1C=C[N+](C)=C1
5784,[Br-].CCCCCCCCCCCCN1C=C[N+](C)=C1
5291,[Cl-].CCCC[N+](C)(CCCC)CCCC
6843,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)C3=CC[C@]12C
7356,[O-][N+](=O)C1=C2C=CC=CC2=CC=C1
5340,CCCCCCCCCCCCCCCC(O)=O
5341,CCCCCCCCCCCCCCCCCC(O)=O
5851,[Cl-].CCCCCC[N+]1=CC=CC=C1
7903,CC(C)(C)C1=CC(=C(O)C=C1)C(C)(C)C
7923,OC1=CC=C(Cl)C=C1CC1=CC(Cl)=CC=C1O
3844,NNC1=NC(=CS1)C1=CC=CC=C1
1292,CCCCCCCC(O)=O
1296,CCCCCCCC=O
2834,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCN1C=C[N+](C)=C1
1300,CCCCCCCCC=O
2835,F[P-](F)(F)(F)(F)F.CCCCCCCCCCCCCCCCN1C=C[N+](C)=C1
1302,CCCCCCCCCCCCCC=O
5400,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
7447,CC(C)(C)C1=C(O)C=CC=C1
802,CCCCCCCCCCC=O
2341,OC(=O)C1=C(Cl)C=CC(Cl)=N1
7468,CC1=CC(O)=C(C=C1)C(C)(C)C
4397,[O-]S(=O)(=O)C(F)(F)F.CCCCCCN1C=C[N+](C)=C1
2352,[Cl-].CCCCCCN1C=C[N+](C)=C1
2353,[Cl-].CCCCCCCCCCN1C=C[N+](C)=C1
4412,OC1=C(C=C(Cl)C=C1)C(=O)NC1=CC=CC=C1
1872,CCCCCCCCCCCC(O)=O
7024,CC1=CC(=CC=C1O)C(C)(C)C1=CC(C)=C(O)C=C1
3982,CCCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCCC
6033,CCCCCCCCCCCCC(O)=O
7584,NC1=CC2=C(C=C1)C=C(C=C2O)S(O)(=O)=O
6576,CC(C)(C)C1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C
1458,OC1=CC=CC(=C1)C(=O)C1=CC=CC=C1
7609,C1=CC2=C(C=C1)N=CC=N2
5576,O.O.[Zn++].CC([O-])=O.CC([O-])=O
6095,[Cl-].CCCCCCCCN1C=C[N+](C)=C1
5078,CCCCCCCCCCCCCC(O)=O
6628,[Br-].CCCCCC[N+]1=CC=CC=C1
