,deleted_duplicate_smiles_0
2560,C1=CC=C2C=C3C4=CC=CC=C4C4=CC=CC=C4C3=CC2=C1
641,CCCCCCC(O)=O
3463,CCCCCCCCCC(O)=O
5773,CC(C)C(NC1=C(Cl)C=C(C=C1)C(F)(F)F)C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1
4500,C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1
2590,C1=CC2=C(C=C1)C1=C(C=C2)C2=C(C=CC=C2)C=C1
6816,CC1=C2C=CC=CC2=CC=C1
3751,CCCCCCCCCOC(=O)C1=CC=C(O)C=C1
2871,N#CC1=CC2=C(C=CC=C2)C2=C1C=CC=C2
6585,C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2
4795,C1=CC2=C(C=C1)C=C1C(C=CC3=C1C=CC=C3)=C2
1214,CCCCCCCC(O)=O
5440,CCCCCCCCCCCCC(O)=O
3011,CCCCCCCCCCCCOC(=O)C1=CC=C(O)C=C1
1738,CCCCCCCCCCCC(O)=O
6860,C1=CC2=CC=CC=C2C=C1
723,CCCCCCCCC(O)=O
4825,CCCCCCCCCCCCCCCC(O)=O
4826,CCCCCCCCCCCCCCCCCC(O)=O
6875,CC1=CC2=CC=CC=C2C=C1
4837,BrC1=CC2=C(C=CC=C2)C2=C1C=CC=C2
749,CCCCCCCCCCC(O)=O
6641,[O-][N+](=O)C1=C2C=CC=CC2=CC=C1
4598,CCCCCCCCCCCCCC(O)=O
