,deleted_duplicate_smiles_0
7296,C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2
2821,C1=CC2=C(C=C1)C1=C(C=C2)C2=C(C=CC=C2)C=C1
4613,C1=CC2=CC3=CC=C4C=CC=C5C=CC(=C2C=C1)C3=C45
7560,CC1=C2C=CC=CC2=CC=C1
5400,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
4900,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
4902,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
4140,C\C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
4141,C\C=C1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
7601,CC1=C(C=CC=C1N=C=O)N=C=O
5306,C1=CC2=C(C=C1)C=C1C(C=CC3=C1C=CC=C3)=C2
6458,CCCCCCC1CCC(=O)O1
7610,C1=CC2=CC=CC=C2C=C1
7358,C1C2=C(C=CC=C2)C2=C1C=CC=C2
3137,N#CC1=CC2=C(C=CC=C2)C2=C1C=CC=C2
7625,CC1=CC2=CC=CC=C2C=C1
6351,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
5457,CC1=CC=C(C=C1N=C=O)N=C=O
2789,C1=CC=C2C=C3C4=CC=CC=C4C4=CC=CC=C4C3=CC2=C1
3173,CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(C)C
6632,[Cl-].[Cl-].[Cu++]
6765,[Cl-].[Cl-].[Zn++]
4976,C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1
6645,[Cl-].[Cl-].[Hg++]
