,deleted_duplicate_smiles_0
5575,O.O.[Zn++].CC([O-])=O.CC([O-])=O
6631,[Cl-].[Cl-].[Cu++]
6764,[Cl-].[Cl-].[Zn++]
6644,[Cl-].[Cl-].[Hg++]
