,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.5882,0.5,0.0,,,0.0,0.9959
0_1,0.9884,0.6667,0.3333,1.0,0.5,0.5766,0.9973
0_2,0.7794,0.4993,0.0,0.0,,-0.0024,0.9946
0_3,0.894,0.4986,0.0,0.0,,-0.0033,0.9932
0_4,0.7196,0.4993,0.0,0.0,,-0.0024,0.9946
0_5,0.6696,0.6236,0.25,0.3333,0.2857,0.2853,0.9932
0_6,0.7842,0.666,0.3333,0.5,0.4,0.4063,0.9959
0_7,0.7903,0.666,0.3333,0.5,0.4,0.4063,0.9959
0_8,0.7826,0.4986,0.0,0.0,,-0.0033,0.9932
0_9,0.9916,0.8313,0.6667,0.4,0.5,0.5139,0.9946
0_Mean,0.7988,0.5949,0.1917,0.3037,0.4171,0.2177,0.9948
0_SD,0.1293,0.1144,0.2292,0.343,0.0889,0.2436,0.0014
Mean,0.7988,0.5949,0.1917,0.3037,0.4171,0.2177,0.9948
SD,0.1293,0.1144,0.2292,0.343,0.0889,0.2436,0.0014
