,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.599,0.5853,0.4429,0.1462,0.2199,0.1106,0.7007
0_1,0.7128,0.6575,0.5,0.2215,0.307,0.2251,0.785
0_2,0.6357,0.6141,0.4493,0.1742,0.251,0.1554,0.748
0_3,0.7064,0.6449,0.4928,0.2012,0.2857,0.2009,0.7684
0_4,0.6323,0.5852,0.3857,0.1588,0.225,0.1186,0.7466
0_5,0.699,0.6224,0.4571,0.185,0.2634,0.1694,0.7561
0_6,0.665,0.6472,0.5429,0.1872,0.2784,0.1933,0.7316
0_7,0.6489,0.628,0.4714,0.1875,0.2683,0.1762,0.7548
0_8,0.6584,0.6465,0.4857,0.2099,0.2931,0.2075,0.7766
0_9,0.7066,0.66,0.5143,0.2182,0.3064,0.2252,0.7779
0_Mean,0.6664,0.6291,0.4742,0.189,0.2698,0.1782,0.7546
0_SD,0.0386,0.0274,0.0437,0.0247,0.0307,0.0405,0.0251
Mean,0.6664,0.6291,0.4742,0.189,0.2698,0.1782,0.7546
SD,0.0387,0.0274,0.0437,0.0247,0.0307,0.0405,0.0251
