,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.5064,0.5536,0.125,0.0714,0.0909,0.0813,0.9728
0_1,0.647,0.5543,0.125,0.0769,0.0952,0.0854,0.9742
0_2,0.5319,0.4876,0.0,0.0,,-0.0166,0.9647
0_3,0.689,0.7404,0.5,0.2222,0.3077,0.3227,0.9755
0_4,0.9199,0.6557,0.3333,0.1579,0.2143,0.2158,0.9701
0_5,0.6312,0.6564,0.3333,0.1667,0.2222,0.2225,0.9715
0_6,0.6428,0.5404,0.1111,0.0435,0.0625,0.0511,0.9592
0_7,0.5843,0.5481,0.125,0.0455,0.0667,0.0585,0.9619
0_8,0.8927,0.8015,0.625,0.2381,0.3448,0.3755,0.9741
0_9,0.7347,0.6758,0.375,0.15,0.2143,0.2242,0.9701
0_Mean,0.678,0.6214,0.2653,0.1172,0.1798,0.1621,0.9694
0_SD,0.1382,0.1005,0.1997,0.0809,0.1057,0.1287,0.0056
Mean,0.678,0.6214,0.2653,0.1172,0.1798,0.162,0.9694
SD,0.1382,0.1005,0.1997,0.0809,0.1057,0.1287,0.0056
