,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6881,0.6312,0.3125,0.1111,0.1639,0.1593,0.9373
0_1,0.5529,0.5713,0.1765,0.1,0.1277,0.1082,0.9496
0_2,0.4846,0.565,0.1765,0.075,0.1053,0.086,0.9373
0_3,0.6816,0.5406,0.1176,0.0645,0.0833,0.0607,0.9459
0_4,0.5403,0.5356,0.1176,0.0513,0.0714,0.0476,0.936
0_5,0.6602,0.6244,0.2941,0.122,0.1724,0.1627,0.941
0_6,0.5988,0.6343,0.3125,0.125,0.1786,0.1725,0.9433
0_7,0.7274,0.6936,0.4375,0.1489,0.2222,0.2305,0.9397
0_8,0.4026,0.5181,0.0625,0.0455,0.0526,0.0309,0.9557
0_9,0.6471,0.5374,0.125,0.0476,0.069,0.0469,0.9335
0_Mean,0.5984,0.5851,0.2132,0.0891,0.1246,0.1105,0.9419
0_SD,0.1025,0.0574,0.1193,0.0371,0.0572,0.0673,0.0068
Mean,0.5984,0.5851,0.2132,0.0891,0.1246,0.1105,0.9419
SD,0.1025,0.0574,0.1193,0.0371,0.0572,0.0673,0.0068
