,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7614,0.7572,0.56,0.28,0.3733,0.3696,0.9422
0_1,0.8266,0.8279,0.68,0.4722,0.5574,0.5504,0.9668
0_2,0.7615,0.7784,0.6,0.3061,0.4054,0.404,0.9459
0_3,0.816,0.686,0.4,0.3125,0.3509,0.3303,0.9545
0_4,0.8157,0.741,0.52,0.3023,0.3824,0.3717,0.9483
0_5,0.832,0.7584,0.56,0.2917,0.3836,0.3786,0.9446
0_6,0.7871,0.7572,0.56,0.28,0.3733,0.3696,0.9422
0_7,0.8384,0.8429,0.72,0.4,0.5143,0.5177,0.9582
0_8,0.8231,0.8015,0.6538,0.2982,0.4096,0.4155,0.9397
0_9,0.6854,0.7235,0.48,0.3158,0.381,0.3656,0.952
0_Mean,0.7947,0.7674,0.5734,0.3259,0.4131,0.4073,0.9494
0_SD,0.0474,0.0474,0.0956,0.0617,0.0675,0.071,0.0085
Mean,0.7947,0.7674,0.5734,0.3259,0.4131,0.4073,0.9494
SD,0.0474,0.0474,0.0956,0.0617,0.0675,0.071,0.0085
