,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6654,0.6515,0.6667,0.5714,0.6154,0.2993,0.6491
0_1,0.649,0.5928,0.4583,0.55,0.5,0.192,0.614
0_2,0.775,0.6481,0.64,0.5926,0.6154,0.2944,0.6491
0_3,0.8425,0.7706,0.76,0.7308,0.7451,0.5392,0.7719
0_4,0.7325,0.6794,0.64,0.64,0.64,0.3588,0.6842
0_5,0.6369,0.5862,0.36,0.6,0.45,0.1944,0.614
0_6,0.7062,0.7062,0.6,0.7143,0.6522,0.4243,0.7193
0_7,0.7275,0.7038,0.72,0.6429,0.6792,0.4045,0.7018
0_8,0.75,0.6594,0.6,0.625,0.6122,0.3204,0.6667
0_9,0.7214,0.6979,0.7083,0.6296,0.6667,0.392,0.6964
0_Mean,0.7206,0.6696,0.6153,0.6297,0.6176,0.3419,0.6767
0_SD,0.0617,0.0551,0.1223,0.0574,0.0857,0.106,0.0488
Mean,0.7206,0.6696,0.6153,0.6297,0.6176,0.3419,0.6766
SD,0.0617,0.0551,0.1223,0.0574,0.0857,0.106,0.0488
