,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.8138,0.7726,0.8007,0.7996,0.8052
GBT_AUC,0.8259,0.8055,0.8246,0.8228,0.8346
RF_AUC,0.8346,0.8317,0.8386,0.8335,0.8284
LR_AUC,0.8178,0.8002,0.786,0.7787,0.8017
KNN_AUC,0.7776,0.7777,0.7789,0.7687,0.7735
NB_AUC,0.606,0.5881,0.5574,0.58,0.5536
MLP_Recall,0.4821,0.4757,0.5181,0.4942,0.5217
GBT_Recall,0.4944,0.4537,0.4159,0.4574,0.4781
RF_Recall,0.3774,0.3456,0.3357,0.3831,0.3673
LR_Recall,0.7316,0.5622,0.5272,0.5246,0.5932
KNN_Recall,0.7041,0.7314,0.7126,0.7006,0.7101
NB_Recall,0.957,0.3613,0.5737,0.6855,0.7572
MLP_F1,0.2624,0.2633,0.2844,0.2799,0.2924
GBT_F1,0.284,0.2528,0.3149,0.3021,0.2906
RF_F1,0.3072,0.3338,0.3094,0.3402,0.3127
LR_F1,0.1968,0.2553,0.2624,0.2552,0.2664
KNN_F1,0.2037,0.173,0.21,0.1959,0.1942
NB_F1,0.0917,0.123,0.0877,0.0956,0.0873
