,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.7971,0.7734,0.7825,0.8059,0.7626
GBT_AUC,0.8129,0.7639,0.7824,0.8071,0.8008
RF_AUC,0.8126,0.8155,0.8095,0.8271,0.8027
LR_AUC,0.7896,0.7966,0.7753,0.7979,0.7485
KNN_AUC,0.7775,0.765,0.774,0.7989,0.7584
NB_AUC,0.5894,0.5957,0.6323,0.5359,0.5061
MLP_Recall,0.5056,0.4506,0.4763,0.5152,0.5056
GBT_Recall,0.4567,0.4556,0.4059,0.4506,0.4339
RF_Recall,0.4237,0.3854,0.4,0.4558,0.4228
LR_Recall,0.6465,0.5044,0.493,0.5257,0.5053
KNN_Recall,0.5976,0.6518,0.6237,0.6743,0.6035
NB_Recall,0.798,0.2927,0.476,0.6681,0.619
MLP_F1,0.3703,0.3616,0.3128,0.3696,0.3343
GBT_F1,0.4223,0.4263,0.4303,0.4371,0.4189
RF_F1,0.4746,0.432,0.4204,0.4646,0.4177
LR_F1,0.1619,0.3429,0.2953,0.3242,0.275
KNN_F1,0.1812,0.1492,0.1574,0.1839,0.1428
NB_F1,0.0492,0.1021,0.0928,0.0494,0.0444
