,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.8211,0.77,0.7804,0.8161,0.8207
GBT_AUC,0.7434,0.8013,0.8531,0.7663,0.7989
RF_AUC,0.7852,0.8231,0.7913,0.77,0.8635
LR_AUC,0.7977,0.819,0.8009,0.8117,0.8387
KNN_AUC,0.7862,0.7588,0.7059,0.7395,0.7473
NB_AUC,0.6149,0.631,0.6495,0.615,0.6042
MLP_Recall,0.3333,0.4417,0.425,0.3917,0.375
GBT_Recall,0.2167,0.1917,0.225,0.275,0.15
RF_Recall,0.275,0.1833,0.2833,0.25,0.1583
LR_Recall,0.4,0.4,0.4834,0.4167,0.4583
KNN_Recall,0.55,0.6,0.525,0.4917,0.45
NB_Recall,0.6167,0.2667,0.425,0.425,0.4167
MLP_F1,0.2807,0.3617,0.2087,0.3519,0.247
GBT_F1,0.2978,0.2694,0.3476,0.4825,0.3333
RF_F1,0.4626,0.4533,0.3673,0.4861,0.36
LR_F1,0.0913,0.296,0.2188,0.3126,0.2587
KNN_F1,0.1129,0.0508,0.0444,0.0689,0.068
NB_F1,0.0135,0.3278,0.0246,0.0238,0.0199
