,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.7354,0.6975,0.6512,0.6972,0.6855
GBT_AUC,0.6843,0.7871,0.8072,0.7548,0.697
RF_AUC,0.7411,0.741,0.7186,0.7052,0.6985
LR_AUC,0.7393,0.7887,0.704,0.7113,0.68
KNN_AUC,0.6697,0.6834,0.6645,0.7152,0.6901
NB_AUC,0.6449,0.624,0.5912,0.6607,0.6452
MLP_Recall,0.3167,0.35,0.3167,0.3167,0.35
GBT_Recall,0.25,0.25,0.3167,0.3167,0.2833
RF_Recall,0.3167,0.2833,0.3167,0.3167,0.3
LR_Recall,0.35,0.35,0.3167,0.3167,0.3
KNN_Recall,0.3667,0.4,0.3167,0.4,0.4167
NB_Recall,0.6833,0.25,0.3167,0.3833,0.4
MLP_F1,0.3357,0.4506,0.4082,0.4059,0.3218
GBT_F1,0.5056,0.4317,0.515,0.5619,0.4626
RF_F1,0.5952,0.5429,0.5571,0.5714,0.5286
LR_F1,0.0726,0.3462,0.3607,0.3551,0.2928
KNN_F1,0.1152,0.1115,0.0613,0.077,0.089
NB_F1,0.0114,0.4224,0.0221,0.0487,0.0292
