,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.7987,0.746,0.7024,0.8019,0.8029
GBT_AUC,0.8104,0.8014,0.7779,0.854,0.8342
RF_AUC,0.8349,0.8376,0.8142,0.835,0.8295
LR_AUC,0.7905,0.7864,0.7119,0.8144,0.8132
KNN_AUC,0.7288,0.7957,0.754,0.7513,0.7352
NB_AUC,0.5872,0.5725,0.5982,0.5256,0.5654
MLP_Recall,0.38,0.3627,0.3127,0.3318,0.3336
GBT_Recall,0.2009,0.25,0.2282,0.3118,0.2554
RF_Recall,0.15,0.2136,0.1418,0.2,0.2018
LR_Recall,0.61,0.4582,0.3318,0.3882,0.4082
KNN_Recall,0.5018,0.6009,0.56,0.5609,0.5536
NB_Recall,0.9255,0.1909,0.3418,0.58,0.6091
MLP_F1,0.2616,0.2928,0.2048,0.2011,0.2148
GBT_F1,0.225,0.218,0.2634,0.2751,0.2524
RF_F1,0.2357,0.3689,0.2162,0.2652,0.2725
LR_F1,0.1027,0.2793,0.1905,0.2116,0.1937
KNN_F1,0.1178,0.1302,0.1075,0.1055,0.0937
NB_F1,0.0311,0.0909,0.0535,0.0279,0.032
