,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.7843,0.6436,0.7095,0.817,0.8437
GBT_AUC,0.8514,0.8275,0.9154,0.9451,0.8724
RF_AUC,0.6949,0.7249,0.7951,0.8284,0.8949
LR_AUC,0.8604,0.8451,0.9434,0.9099,0.9325
KNN_AUC,0.6324,0.7575,0.7607,0.6958,0.8542
NB_AUC,0.6941,0.5738,0.6331,0.6128,0.6206
MLP_Recall,0.2,0.15,0.2,0.25,0.3
GBT_Recall,0.0,0.15,0.2,0.2,0.1
RF_Recall,0.0,0.15,0.15,0.15,0.2
LR_Recall,0.25,0.25,0.3,0.3,0.3
KNN_Recall,0.3,0.5,0.45,0.4,0.65
NB_Recall,0.55,0.15,0.3,0.25,0.25
MLP_F1,0.3278,0.3111,0.35,0.3132,0.5
GBT_F1,,0.4166,0.6111,0.4889,0.4
RF_F1,,0.8334,0.75,0.45,0.75
LR_F1,0.1155,0.3952,0.2514,0.2822,0.4167
KNN_F1,0.0891,0.0928,0.037,0.0729,0.0877
NB_F1,0.0228,0.4,0.0404,0.0943,0.2831
