,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.7053,0.6675,0.7025,0.6506,0.6646
GBT_AUC,0.7038,0.6703,0.6962,0.6672,0.7597
RF_AUC,0.7381,0.7406,0.7368,0.726,0.7186
LR_AUC,0.6807,0.6862,0.6904,0.6234,0.6657
KNN_AUC,0.6425,0.671,0.6616,0.6729,0.6525
NB_AUC,0.5253,0.5433,0.6518,0.4366,0.4298
MLP_Recall,0.2596,0.2596,0.2987,0.2276,0.25
GBT_Recall,0.1179,0.1429,0.1346,0.0948,0.1083
RF_Recall,0.1647,0.1583,0.173,0.125,0.1487
LR_Recall,0.4705,0.2833,0.2987,0.2205,0.3436
KNN_Recall,0.3929,0.4994,0.4699,0.4301,0.4449
NB_Recall,0.9064,0.1577,0.4769,0.5949,0.6019
MLP_F1,0.1679,0.1649,0.1444,0.1452,0.1553
GBT_F1,0.1787,0.1279,0.1325,0.154,0.1697
RF_F1,0.1902,0.2394,0.166,0.1657,0.1972
LR_F1,0.0742,0.1429,0.1304,0.1062,0.1409
KNN_F1,0.0837,0.0737,0.0778,0.0878,0.076
NB_F1,0.036,0.0744,0.0531,0.0277,0.0276
