,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.7218,0.6656,0.6996,0.712,0.7113
GBT_AUC,0.7129,0.6382,0.6719,0.6875,0.7265
RF_AUC,0.7495,0.7339,0.7339,0.7499,0.7514
LR_AUC,0.6974,0.6711,0.6497,0.6747,0.6743
KNN_AUC,0.6982,0.668,0.6756,0.6899,0.6904
NB_AUC,0.6222,0.5039,0.6271,0.6157,0.6231
MLP_Recall,0.41,0.373,0.4311,0.4455,0.4352
GBT_Recall,0.1835,0.1958,0.206,0.2416,0.3135
RF_Recall,0.2698,0.1606,0.2536,0.2788,0.2805
LR_Recall,0.6658,0.4431,0.4188,0.4576,0.5074
KNN_Recall,0.6183,0.633,0.6185,0.6247,0.6641
NB_Recall,0.8477,0.5505,0.5484,0.5794,0.6909
MLP_F1,0.2626,0.2231,0.2384,0.2527,0.2423
GBT_F1,0.1926,0.2082,0.2171,0.2241,0.2164
RF_F1,0.2814,0.1974,0.2608,0.2842,0.2551
LR_F1,0.1805,0.2215,0.2057,0.2251,0.2113
KNN_F1,0.1974,0.1702,0.185,0.1922,0.186
NB_F1,0.1195,0.1092,0.1477,0.1599,0.1626
