,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.7387,0.7253,0.7271,0.7684,0.7615
GBT_AUC,0.7907,0.7822,0.8212,0.8106,0.8523
RF_AUC,0.7169,0.805,0.8481,0.7963,0.7988
LR_AUC,0.7484,0.8152,0.8052,0.7903,0.796
KNN_AUC,0.6668,0.7651,0.7469,0.7452,0.7642
NB_AUC,0.6199,0.5783,0.5477,0.5971,0.5897
MLP_Recall,0.2333,0.2667,0.3833,0.2917,0.2917
GBT_Recall,0.2,0.2583,0.1917,0.2167,0.2917
RF_Recall,0.1333,0.2,0.225,0.1583,0.1917
LR_Recall,0.2833,0.2666,0.3833,0.35,0.325
KNN_Recall,0.3667,0.55,0.5833,0.5083,0.525
NB_Recall,0.7,0.1666,0.2583,0.35,0.2917
MLP_F1,0.1691,0.3073,0.2212,0.262,0.2494
GBT_F1,0.3301,0.2419,0.3293,0.346,0.2771
RF_F1,0.45,0.4056,0.3563,0.3971,0.4171
LR_F1,0.0676,0.2119,0.1811,0.2361,0.2152
KNN_F1,0.0769,0.047,0.0505,0.0752,0.0731
NB_F1,0.0128,0.1994,0.017,0.0257,0.0298
