,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.7533,0.669,0.6371,0.6521,0.6951
GBT_AUC,0.8089,0.7384,0.6744,0.7181,0.7859
RF_AUC,0.7807,0.7718,0.7718,0.7877,0.8315
LR_AUC,0.7825,0.7767,0.6429,0.6524,0.7168
KNN_AUC,0.6541,0.6622,0.6923,0.7316,0.6874
NB_AUC,0.5682,0.5644,0.5629,0.5665,0.5248
MLP_Recall,0.27,0.22,0.265,0.325,0.26
GBT_Recall,0.12,0.12,0.145,0.225,0.26
RF_Recall,0.125,0.08,0.085,0.165,0.12
LR_Recall,0.47,0.24,0.265,0.325,0.34
KNN_Recall,0.345,0.365,0.505,0.485,0.4
NB_Recall,0.815,0.14,0.245,0.52,0.475
MLP_F1,0.2331,0.3177,0.1045,0.187,0.2373
GBT_F1,0.3166,0.3797,0.293,0.2687,0.3734
RF_F1,0.3067,0.3214,0.2387,0.3325,0.3309
LR_F1,0.081,0.2502,0.0957,0.1655,0.1869
KNN_F1,0.0686,0.0416,0.046,0.0736,0.0709
NB_F1,0.0144,0.223,0.054,0.0154,0.013
