,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.6743,0.6681,0.6507,0.6378,0.6564
GBT_AUC,0.6491,0.6586,0.6589,0.6508,0.6795
RF_AUC,0.7294,0.7184,0.7095,0.6966,0.7177
LR_AUC,0.6161,0.6681,0.6388,0.6337,0.6168
KNN_AUC,0.6912,0.6819,0.6796,0.6735,0.6505
NB_AUC,0.5137,0.5548,0.5958,0.4775,0.5005
MLP_Recall,0.2616,0.2613,0.2924,0.3032,0.2474
GBT_Recall,0.0732,0.1519,0.1729,0.1624,0.1313
RF_Recall,0.1618,0.1261,0.199,0.1992,0.1734
LR_Recall,0.4824,0.3134,0.3342,0.3039,0.2832
KNN_Recall,0.4811,0.5339,0.5074,0.4976,0.4455
NB_Recall,0.8903,0.2458,0.4866,0.6897,0.7289
MLP_F1,0.1744,0.168,0.1726,0.2107,0.1779
GBT_F1,0.1229,0.1589,0.2207,0.2086,0.1468
RF_F1,0.2018,0.169,0.2369,0.2375,0.2125
LR_F1,0.0719,0.1563,0.1651,0.1542,0.1108
KNN_F1,0.1152,0.0921,0.1038,0.108,0.088
NB_F1,0.0481,0.07,0.0639,0.044,0.0456
