,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.7178,0.6262,0.5838,0.6688,0.6375
GBT_AUC,0.7449,0.7249,0.6891,0.7499,0.6544
RF_AUC,0.6597,0.6353,0.7107,0.7354,0.6665
LR_AUC,0.7313,0.795,0.6664,0.7036,0.6682
KNN_AUC,0.6055,0.6082,0.7021,0.6722,0.6489
NB_AUC,0.4987,0.5489,0.583,0.6279,0.6032
MLP_Recall,0.1,0.2,0.3,0.25,0.2
GBT_Recall,0.05,0.05,0.25,0.2,0.15
RF_Recall,0.0,0.1,0.2,0.2,0.2
LR_Recall,0.3,0.2,0.3,0.25,0.25
KNN_Recall,0.25,0.25,0.4,0.4,0.3
NB_Recall,0.45,0.1,0.45,0.3,0.3
MLP_F1,0.2428,0.475,0.4411,0.3333,0.3952
GBT_F1,0.6667,0.4,0.4306,0.5556,0.45
RF_F1,,0.5,0.6333,0.5556,0.7222
LR_F1,0.1323,0.3958,0.2471,0.2621,0.2887
KNN_F1,0.0805,0.0966,0.0343,0.061,0.0549
NB_F1,0.0081,0.5,0.0114,0.0612,0.0259
