,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.6236,0.6292,0.6013,0.613,0.5984
GBT_AUC,0.6105,0.6602,0.578,0.6111,0.5993
RF_AUC,0.6631,0.6579,0.644,0.6493,0.6789
LR_AUC,0.6014,0.6435,0.5875,0.5976,0.5618
KNN_AUC,0.6674,0.6396,0.6434,0.641,0.6397
NB_AUC,0.5091,0.5243,0.6089,0.489,0.4816
MLP_Recall,0.1875,0.2007,0.1937,0.2349,0.2132
GBT_Recall,0.0423,0.0908,0.1026,0.1143,0.1029
RF_Recall,0.0912,0.1158,0.1084,0.139,0.1335
LR_Recall,0.4544,0.254,0.2312,0.2412,0.2743
KNN_Recall,0.472,0.4761,0.4338,0.4463,0.443
NB_Recall,0.8908,0.1709,0.532,0.6802,0.6647
MLP_F1,0.121,0.1248,0.1039,0.1382,0.1246
GBT_F1,0.0984,0.1156,0.1902,0.1745,0.1681
RF_F1,0.1245,0.1609,0.1362,0.1628,0.1877
LR_F1,0.0553,0.1178,0.1004,0.1149,0.0981
KNN_F1,0.0977,0.072,0.0751,0.0805,0.0732
NB_F1,0.0397,0.0478,0.059,0.0378,0.0371
