,maccs,morgan,rdkit,layerd,pattern
MLP_AUC,0.6773,0.628,0.6973,0.692,0.6809
GBT_AUC,0.6578,0.6163,0.6832,0.6774,0.6856
RF_AUC,0.728,0.7276,0.742,0.7211,0.718
LR_AUC,0.6061,0.6767,0.6685,0.6793,0.6141
KNN_AUC,0.6773,0.6555,0.6943,0.6875,0.6808
NB_AUC,0.4636,0.5437,0.6282,0.5136,0.5112
MLP_Recall,0.2749,0.2556,0.3461,0.3225,0.256
GBT_Recall,0.0996,0.161,0.2325,0.2182,0.1515
RF_Recall,0.166,0.1565,0.2277,0.2561,0.1756
LR_Recall,0.4699,0.3128,0.332,0.3701,0.3082
KNN_Recall,0.469,0.4695,0.521,0.5318,0.5507
NB_Recall,0.8825,0.2846,0.5541,0.7011,0.7251
MLP_F1,0.1889,0.1776,0.1722,0.1941,0.1413
GBT_F1,0.1407,0.1581,0.2483,0.2407,0.1392
RF_F1,0.2149,0.2223,0.232,0.2705,0.1873
LR_F1,0.0746,0.1578,0.1569,0.1774,0.1135
KNN_F1,0.113,0.0989,0.1093,0.1126,0.1036
NB_F1,0.0473,0.065,0.0756,0.0522,0.0518
