,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6734,0.7033,0.4444,0.2105,0.2857,0.2834,0.9507
0_1,0.7341,0.7235,0.5,0.1765,0.2609,0.2713,0.9371
0_2,0.676,0.6446,0.3333,0.1463,0.2034,0.1945,0.942
0_3,0.8168,0.6916,0.4211,0.2105,0.2807,0.2743,0.9494
0_4,0.9761,0.9202,0.8947,0.2833,0.4304,0.4857,0.9445
0_5,0.7499,0.6928,0.4211,0.2222,0.2909,0.2833,0.9519
0_6,0.8012,0.7385,0.5263,0.2041,0.2941,0.3029,0.9408
0_7,0.7783,0.7027,0.4444,0.2051,0.2807,0.2791,0.9494
0_8,0.7053,0.6774,0.3889,0.2059,0.2692,0.2608,0.9531
0_9,0.842,0.7601,0.5556,0.2632,0.3571,0.3626,0.9556
0_Mean,0.7753,0.7255,0.493,0.2128,0.2953,0.2998,0.9475
0_SD,0.0911,0.0756,0.1556,0.0388,0.0605,0.0771,0.006
Mean,0.7753,0.7255,0.493,0.2128,0.2953,0.2998,0.9474
SD,0.0911,0.0755,0.1556,0.0388,0.0605,0.0771,0.006
