,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7915,0.6813,0.4286,0.1607,0.2338,0.2277,0.9195
0_1,0.6703,0.575,0.2273,0.0833,0.122,0.0933,0.9018
0_2,0.7633,0.6631,0.4091,0.1324,0.2,0.1918,0.9018
0_3,0.7679,0.6567,0.4091,0.1169,0.1818,0.1744,0.8895
0_4,0.7932,0.6952,0.4762,0.1408,0.2174,0.2202,0.9016
0_5,0.7926,0.6777,0.4286,0.1475,0.2195,0.2147,0.9126
0_6,0.6843,0.6287,0.3333,0.1148,0.1707,0.1555,0.9071
0_7,0.7002,0.6238,0.3333,0.1029,0.1573,0.1423,0.8975
0_8,0.6872,0.6266,0.3333,0.1094,0.1647,0.1496,0.903
0_9,0.7619,0.6356,0.381,0.093,0.1495,0.1406,0.8757
0_Mean,0.7412,0.6464,0.376,0.1202,0.1817,0.171,0.901
0_SD,0.0499,0.0356,0.071,0.0248,0.0355,0.0428,0.012
Mean,0.7412,0.6464,0.376,0.1202,0.1817,0.171,0.901
SD,0.0499,0.0356,0.071,0.0248,0.0355,0.0428,0.012
