,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7648,0.5975,0.2,0.2,0.2,0.195,0.9901
0_1,0.729,0.6981,0.4,0.4,0.4,0.3963,0.9926
0_2,0.928,0.7,0.4,1.0,0.5714,0.6313,0.9963
0_3,0.6769,0.5988,0.2,0.3333,0.25,0.2547,0.9926
0_4,0.8077,0.5969,0.2,0.1667,0.1818,0.177,0.9889
0_5,0.7263,0.4988,0.0,0.0,,-0.0039,0.9914
0_6,0.766,0.5994,0.2,0.5,0.2857,0.3137,0.9938
0_7,0.5937,0.6225,0.25,0.2,0.2222,0.2193,0.9914
0_8,0.6316,0.5938,0.2,0.0909,0.125,0.1269,0.9827
0_9,0.557,0.5969,0.2,0.1667,0.1818,0.177,0.9889
0_Mean,0.7181,0.6103,0.225,0.3058,0.2687,0.2487,0.9909
0_SD,0.1092,0.0572,0.1137,0.2848,0.1379,0.1716,0.0036
Mean,0.7181,0.6103,0.225,0.3058,0.2687,0.2487,0.9909
SD,0.1092,0.0571,0.1137,0.2848,0.1379,0.1716,0.0036
