,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.738,0.7052,0.5,0.186,0.2712,0.2595,0.8942
0_1,0.8729,0.7769,0.6562,0.2079,0.3158,0.3265,0.8881
0_2,0.7274,0.6251,0.3438,0.131,0.1897,0.1599,0.8844
0_3,0.7648,0.6778,0.4375,0.1795,0.2545,0.2348,0.8991
0_4,0.7885,0.7435,0.5625,0.2338,0.3303,0.3234,0.9102
0_5,0.7755,0.7039,0.5,0.1818,0.2667,0.2552,0.8918
0_6,0.7988,0.6988,0.4848,0.1905,0.2735,0.2578,0.8954
0_7,0.7688,0.6611,0.3939,0.1884,0.2549,0.2281,0.9065
0_8,0.7389,0.6685,0.4242,0.1707,0.2435,0.2209,0.893
0_9,0.7528,0.6753,0.4545,0.1562,0.2326,0.2145,0.8782
0_Mean,0.7726,0.6936,0.4758,0.1826,0.2633,0.248,0.8941
0_SD,0.042,0.043,0.0882,0.0276,0.0399,0.0498,0.0096
Mean,0.7726,0.6936,0.4757,0.1826,0.2633,0.2481,0.8941
SD,0.042,0.043,0.0882,0.0276,0.0399,0.0498,0.0096
