base model,valid_AUC,valid_AUC_PR,valid_Recall,valid_F1,test_AUC,test_AUC_PR,test_Recall,test_F1
CI,0.7350006609847446,0.2191200095752846,0.21708793128451304,0.24042957888815786,0.7977800748047331,0.2730443877959347,0.2700054441940161,0.3103065304797986
DS,0.7598049323728118,0.7940538473754485,0.7766559042927329,0.7126809824273471,0.736111111111111,0.7794869695272874,0.6683333333333333,0.6488562091503268
