tuned model,valid_AUC_tuned,valid_AUC_PR_tuned,valid_Recall_tuned,valid_F1_tuned,test_AUC_tuned,test_AUC_PR_tuned,test_Recall_tuned,test_F1_tuned
CI,0.7390975144642857,0.21580546992857147,0.23456790207142858,0.2532235463928572,0.8058272843214287,0.2727811019285714,0.27173500771428566,0.31238188199999994
DS,0.7619250083333333,0.7962478220000001,0.7780551136666668,0.7126999413333334,0.7018055556666667,0.7315282253333333,0.6266666666666666,0.6612859833333333
