base model,valid_AUC,valid_AUC_PR,valid_Recall,valid_F1,test_AUC,test_AUC_PR,test_Recall,test_F1
CI,0.7350006611071428,0.21912000957142858,0.21708793128571427,0.24042957892857145,0.7916368768571429,0.2622257669642857,0.2551974566785714,0.29493379464285713
DS,0.7598049320000001,0.7940538473333333,0.7766559043333334,0.7126809823333332,0.6783680556666667,0.7142422703333334,0.5433333333333333,0.5343018563333333
