tuned model,valid_AUC_tuned,valid_AUC_PR_tuned,valid_Recall_tuned,valid_F1_tuned,test_AUC_tuned,test_AUC_PR_tuned,test_Recall_tuned,test_F1_tuned
CI,0.7390975143944354,0.21580547004128356,0.2345679019832682,0.2532235462803506,0.800775209367574,0.28191648891903226,0.29065069092907375,0.3330643214019421
DS,0.7619250085312211,0.7962478219357112,0.7780551137788988,0.7126999416108316,0.7583333333333334,0.7924185171463348,0.71,0.7333333333333334
