,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.5266,0.5662,0.1765,0.0789,0.1091,0.0897,0.9396
0_1,0.5904,0.5755,0.2353,0.0563,0.0909,0.0765,0.9014
0_2,0.5316,0.5824,0.2353,0.0667,0.1039,0.0902,0.9149
0_3,0.5907,0.6143,0.2941,0.0877,0.1351,0.1281,0.9211
0_4,0.5911,0.5536,0.1765,0.0517,0.08,0.0596,0.9149
0_5,0.6362,0.6112,0.2941,0.0806,0.1266,0.1199,0.9149
0_6,0.5342,0.5818,0.2353,0.0656,0.1026,0.0888,0.9137
0_7,0.6308,0.6118,0.2941,0.082,0.1282,0.1214,0.9162
0_8,0.6205,0.6099,0.2941,0.0781,0.1235,0.1168,0.9125
0_9,0.4884,0.5191,0.1176,0.0308,0.0488,0.0202,0.9037
0_Mean,0.574,0.5826,0.2353,0.0678,0.1049,0.0911,0.9153
0_SD,0.0506,0.0309,0.062,0.0175,0.0264,0.0334,0.0103
Mean,0.5741,0.5826,0.2353,0.0678,0.1049,0.0911,0.9153
SD,0.0506,0.0309,0.062,0.0175,0.0264,0.0334,0.0103
