,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.6829,0.7071,0.4444,0.1538,0.2286,0.2466,0.9633
0_1,0.7148,0.5432,0.125,0.0345,0.0541,0.0461,0.9524
0_2,0.8704,0.6119,0.25,0.0952,0.1379,0.1394,0.966
0_3,0.6259,0.6731,0.375,0.125,0.1875,0.2021,0.9646
0_4,0.7316,0.6057,0.25,0.0667,0.1053,0.1109,0.9537
0_5,0.7606,0.6731,0.375,0.125,0.1875,0.2021,0.9646
0_6,0.9426,0.7335,0.5,0.1429,0.2222,0.2531,0.9619
0_7,0.5556,0.5501,0.125,0.0526,0.0741,0.0655,0.966
0_8,0.6121,0.5494,0.125,0.05,0.0714,0.0631,0.9646
0_9,0.8281,0.6799,0.375,0.2143,0.2727,0.2732,0.9782
0_Mean,0.7325,0.6327,0.2944,0.106,0.1541,0.1602,0.9635
0_SD,0.1216,0.07,0.1392,0.0566,0.0763,0.0861,0.0071
Mean,0.7325,0.6327,0.2944,0.106,0.1541,0.1602,0.9635
SD,0.1216,0.07,0.1392,0.0566,0.0763,0.0861,0.0071
