,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.5895,0.583,0.2041,0.2564,0.2273,0.1849,0.9162
0_1,0.5906,0.5662,0.1837,0.1875,0.1856,0.1338,0.9026
0_2,0.6785,0.5668,0.1875,0.18,0.1837,0.1312,0.9012
0_3,0.627,0.5629,0.1875,0.1607,0.1731,0.1171,0.8938
0_4,0.6231,0.5585,0.1458,0.2414,0.1818,0.1486,0.9222
0_5,0.6074,0.578,0.1875,0.2727,0.2222,0.1863,0.9222
0_6,0.6825,0.591,0.2083,0.3333,0.2564,0.2277,0.9284
0_7,0.688,0.5632,0.1633,0.2222,0.1882,0.1463,0.9148
0_8,0.6412,0.5955,0.2449,0.2264,0.2353,0.1842,0.9037
0_9,0.6537,0.5935,0.2449,0.2143,0.2286,0.1758,0.9
0_Mean,0.6382,0.5759,0.1957,0.2295,0.2082,0.1636,0.9105
0_SD,0.0369,0.0141,0.0315,0.0503,0.0288,0.0338,0.0117
Mean,0.6382,0.5759,0.1958,0.2295,0.2082,0.1636,0.9105
SD,0.0369,0.0141,0.0315,0.0503,0.0288,0.0338,0.0117
