,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8458,0.6612,0.3333,0.1111,0.1667,0.1869,0.9864
0_1,0.834,0.4986,0.0,0.0,,-0.0033,0.9932
0_2,0.9718,0.6639,0.3333,0.2,0.25,0.2543,0.9918
0_3,0.4727,0.4973,0.0,0.0,,-0.0047,0.9905
0_4,0.7647,0.6236,0.25,0.3333,0.2857,0.2853,0.9932
0_5,0.9394,0.4993,0.0,0.0,,-0.0027,0.9932
0_6,0.6542,0.4952,0.0,0.0,,-0.0072,0.9851
0_7,0.7067,0.6626,0.3333,0.1429,0.2,0.2134,0.9891
0_8,0.8474,0.8306,0.6667,0.3333,0.4444,0.4685,0.9932
0_9,0.9759,0.4986,0.0,0.0,,-0.0033,0.9932
0_Mean,0.8013,0.5931,0.1917,0.1121,0.2694,0.1387,0.9909
0_SD,0.1577,0.1141,0.2292,0.1372,0.108,0.1679,0.0031
Mean,0.8013,0.5931,0.1917,0.1121,0.2694,0.1387,0.9909
SD,0.1577,0.1141,0.2292,0.1372,0.108,0.1679,0.0031
