,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.8584,0.6208,0.25,0.3333,0.2857,0.2785,0.9796
0_1,0.5856,0.5361,0.0833,0.1111,0.0952,0.0833,0.9741
0_2,0.7191,0.5343,0.0769,0.1429,0.1,0.0931,0.9755
0_3,0.7,0.57,0.1538,0.1667,0.16,0.1456,0.9714
0_4,0.5847,0.5343,0.0769,0.1429,0.1,0.0931,0.9755
0_5,0.7538,0.5714,0.1538,0.2,0.1739,0.1624,0.9741
0_6,0.6038,0.4972,0.0,0.0,,-0.0099,0.9768
0_7,0.7477,0.4958,0.0,0.0,,-0.0122,0.9741
0_8,0.6765,0.5721,0.1538,0.2222,0.1818,0.1728,0.9755
0_9,0.8081,0.614,0.2308,0.6,0.3333,0.3656,0.9837
0_Mean,0.7038,0.5546,0.1179,0.1919,0.1788,0.1372,0.976
0_SD,0.0933,0.043,0.0859,0.1742,0.0887,0.1178,0.0034
Mean,0.7038,0.5546,0.1179,0.1919,0.1787,0.1372,0.976
SD,0.0933,0.043,0.0859,0.1742,0.0887,0.1178,0.0034
