,AUC,B_A,Recall,Precision,F1,MCC,Accuracy
0_0,0.7465,0.6491,0.3333,0.2188,0.2642,0.2434,0.9467
0_1,0.849,0.6015,0.2381,0.1667,0.1961,0.1709,0.944
0_2,0.7206,0.6216,0.2727,0.2222,0.2449,0.2203,0.9495
0_3,0.8374,0.6188,0.2727,0.1935,0.2264,0.2014,0.944
0_4,0.8399,0.6621,0.3636,0.2222,0.2759,0.256,0.9426
0_5,0.7481,0.6491,0.3333,0.2188,0.2642,0.2434,0.9466
0_6,0.738,0.6785,0.381,0.32,0.3478,0.3281,0.959
0_7,0.7881,0.6231,0.2857,0.1765,0.2182,0.1953,0.9412
0_8,0.8042,0.6078,0.2381,0.2381,0.2381,0.2156,0.9562
0_9,0.757,0.5342,0.0952,0.0952,0.0952,0.0685,0.948
0_Mean,0.7829,0.6246,0.2814,0.2072,0.2371,0.2143,0.9478
0_SD,0.0474,0.0402,0.0821,0.0575,0.0646,0.0668,0.0058
Mean,0.7829,0.6246,0.2814,0.2072,0.2371,0.2143,0.9478
SD,0.0473,0.0402,0.0821,0.0575,0.0646,0.0667,0.0058
